date,B0014C440U,B001CXWNGI,B001DEIG44,B002S0NP84,B0096Q8PF6,B00D3JA5V4,B00DNYXJP8,B00JJXMAI4,B00VPEMFC6,B01B5KAAAS,average
2020-02-05,0.9620634283420313,1.0,1.1121495327102802,1.0507841672890217,1.0,1.0,1.3103879849812266,0.9936507936507937,1.0,1.0,1.0429035906973354
2020-02-06,0.9620634283420313,1.0,1.1121495327102802,1.0507841672890217,1.0,1.0,1.3103879849812266,0.9936507936507937,1.0,1.0,1.0429035906973354
2020-02-07,0.9620634283420313,1.0,1.1121495327102802,1.0507841672890217,1.0,1.0,1.3103879849812266,0.9936507936507937,1.0,1.0,1.0429035906973354
2020-02-08,0.9620634283420313,1.0,1.1121495327102802,1.0507841672890217,1.0,1.0,1.3103879849812266,0.9936507936507937,1.0,1.0,1.0429035906973354
2020-02-09,0.9700923323966278,1.0,1.1121495327102802,1.0507841672890217,1.0,1.0,1.3103879849812266,0.9936507936507937,1.0,1.0,1.043706481102795
2020-02-10,0.9700923323966278,1.0,1.1121495327102802,1.0507841672890217,1.0,1.0,1.3103879849812266,0.9936507936507937,1.0,1.0,1.043706481102795
2020-02-11,0.9700923323966278,1.0,1.1121495327102802,1.0507841672890217,1.0,1.0,1.3103879849812266,0.9936507936507937,1.0,1.0,1.043706481102795
2020-02-12,1.0,1.0,1.1121495327102802,1.0507841672890217,1.0,1.0,1.3103879849812266,0.9936507936507937,1.0,1.0,1.0466972478631322
2020-02-13,1.0,1.0,1.1121495327102802,1.082150858849888,1.0,1.0,1.3103879849812266,0.9936507936507937,1.0,1.0,1.0498339170192188
2020-02-14,1.0,1.0,1.1121495327102802,1.082150858849888,1.0,1.0,1.3103879849812266,0.9936507936507937,1.0,1.0,1.0498339170192188
2020-02-15,1.0,1.0,1.1121495327102802,1.082150858849888,1.0,1.0,1.3103879849812266,0.9936507936507937,1.0,1.0,1.0498339170192188
2020-02-16,1.0,1.0,1.0,1.082150858849888,1.0,1.0,1.3110137672090112,1.0222222222222224,1.0,1.0,1.041538684828112
2020-02-17,1.0,1.0,1.0,1.082150858849888,1.0,1.0,1.3085106382978724,1.0222222222222224,1.0,1.0,1.0412883719369983
2020-02-18,1.0,1.0,1.0,1.082150858849888,1.0,1.0,1.3085106382978724,1.0142857142857145,1.0,1.0,1.0404947211433475
2020-02-19,1.0,1.0,1.0,1.082150858849888,1.0,1.0,1.3085106382978724,1.0142857142857145,1.0,1.0,1.0404947211433475
2020-02-20,1.0,1.0,1.0,1.082150858849888,1.0,1.0,1.3085106382978724,1.0142857142857145,1.0,1.0,1.0404947211433475
2020-02-21,1.0,1.0,1.0,1.082150858849888,1.0,1.0,1.3085106382978724,1.0142857142857145,1.0,1.0,1.0404947211433475
2020-02-22,1.0,1.0,1.0,1.082150858849888,1.0,1.0,1.3110137672090112,1.0142857142857145,1.0,1.0,1.0407450340344613
2020-02-23,1.0,1.0,1.1121495327102802,1.082150858849888,1.0,1.0,1.3097622027534417,1.0142857142857145,1.0,1.0,1.0518348308599323
2020-02-24,1.0,1.0,1.1121495327102802,1.082150858849888,1.0,1.0,1.3097622027534417,1.0142857142857145,1.0,1.0,1.0518348308599323
2020-02-25,1.0,1.0,1.1121495327102802,1.082150858849888,1.0,1.0,1.3103879849812266,1.0142857142857145,1.0,1.0,1.051897409082711
2020-02-26,1.0,1.0,1.1121495327102802,1.082150858849888,1.0,1.0,1.3103879849812266,1.0142857142857145,1.0,1.0,1.051897409082711
2020-02-27,1.0,1.0,1.1121495327102802,1.082150858849888,1.0,1.0,1.3103879849812266,0.8888888888888888,1.0,1.0,1.0393577265430283
2020-02-28,1.0,1.0,1.1121495327102802,1.1142643764002986,1.0,1.0,1.3103879849812266,0.8888888888888888,1.0,1.0,1.0425690782980694
2020-02-29,1.0,1.0,1.1121495327102802,1.1142643764002986,1.0,1.0,1.3103879849812266,0.8888888888888888,1.0,1.0,1.0425690782980694
2020-03-01,1.0,1.0,1.1121495327102802,1.1142643764002986,1.0,1.0,1.3103879849812266,0.8888888888888888,1.0,1.0,1.0425690782980694
2020-03-02,1.0,1.0,1.1121495327102802,1.1142643764002986,1.0,1.0,1.3103879849812266,0.8888888888888888,1.0,1.0,1.0425690782980694
2020-03-03,1.0,1.0,1.1121495327102802,1.1142643764002986,1.0,1.0,1.3103879849812266,0.8888888888888888,1.0,1.0,1.0425690782980694
2020-03-04,1.0,1.0,1.1121495327102802,1.1142643764002986,1.0,1.0,1.3103879849812266,0.8888888888888888,1.0,1.0,1.0425690782980694
2020-03-05,1.0,1.0,1.1121495327102802,1.1142643764002986,1.0,1.0,1.3103879849812266,0.8888888888888888,1.0,1.0,1.0425690782980694
2020-03-06,1.0,1.0,1.1121495327102802,1.1142643764002986,1.0,1.0,1.3122653316645807,0.8888888888888888,1.0,1.0,1.0427568129664049
2020-03-07,1.0,1.0,1.1121495327102802,1.1142643764002986,1.0,1.0870195794053663,1.3085106382978724,0.8888888888888888,1.0,1.0,1.0510833015702707
2020-03-08,1.0,1.0,1.1121495327102802,1.1142643764002986,1.0,1.0870195794053663,1.3085106382978724,0.8888888888888888,1.0,1.0,1.0510833015702707
2020-03-09,1.0017061421116018,1.0,1.1121495327102802,1.1142643764002986,1.0,1.0870195794053663,1.6487797246558198,0.8888888888888888,1.0,1.0,1.0852808244172256
2020-03-10,0.9932757928542754,1.0,1.1121495327102802,1.1142643764002986,1.0,1.2320522117476431,1.6487797246558198,0.8888888888888888,1.0,1.0,1.0989410527257206
2020-03-11,1.0034122842232036,1.0250836120401337,1.1121495327102802,1.1142643764002986,1.0,1.2320522117476431,2.063204005006258,0.8888888888888888,1.0,1.0,1.1439054911016706
