date,B005HG9ERW,B07P619NNK,B07V43XKBD,average
2020-03-24,1.0614326232574982,0.7040000000000001,0.8637280322673581,0.8763868851749521
2020-03-25,1.0018707380363288,0.7040000000000001,0.8637280322673581,0.8565329234345623
2020-03-26,1.0018707380363288,0.8,0.8637280322673581,0.8885329234345622
2020-03-27,1.0018707380363288,0.8,0.8637280322673581,0.8885329234345622
2020-03-28,1.0018707380363288,0.8,0.8637280322673581,0.8885329234345622
2020-03-29,1.0018707380363288,0.8,0.8637280322673581,0.8885329234345622
2020-03-30,1.0018707380363288,0.8,0.7479112647651973,0.8499273342671754
2020-03-31,1.0018707380363288,0.8,0.7479112647651973,0.8499273342671754
2020-04-01,1.0018707380363288,1.0,0.7865168539325843,0.9294625306563044
2020-04-02,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-03,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-04,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-05,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-06,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-07,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-08,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-09,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-10,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-11,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-12,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-13,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-14,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-15,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-16,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-17,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-18,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-19,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-20,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-21,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-22,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-23,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-24,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-25,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-26,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-27,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-28,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-29,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-30,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-05-01,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-05-02,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-05-03,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-05-04,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-05-05,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-05-06,1.0018707380363288,0.7040000000000001,0.8637280322673581,0.8565329234345623
2020-05-07,1.0018707380363288,0.7040000000000001,0.7479112647651973,0.8179273342671755
2020-05-08,1.0018707380363288,0.7040000000000001,0.7479112647651973,0.8179273342671755
2020-05-09,1.0018707380363288,0.7040000000000001,0.7479112647651973,0.8179273342671755
2020-05-10,1.0018707380363288,0.7040000000000001,0.8058196485162776,0.8372301288508689
