date,B07H9KV1GG,B07H9KV2YN,B07H9KZQ9G,B07H9PZ6MH,B07H9PZ81G,B07H9PZGSP,B07H9PZMVV,average
2020-03-17,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-18,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-19,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-20,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-21,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-22,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-23,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-24,1.0,1.0,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9997477507777683
2020-03-25,1.0,1.0,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9997477507777683
2020-03-26,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-03-27,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-03-28,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-03-29,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-03-30,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-03-31,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-04-01,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-04-02,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-04-03,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-04-04,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-04-05,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-04-06,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-04-07,1.0,1.0,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9997477507777683
2020-04-08,1.0,1.0,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9997477507777683
2020-04-09,1.0,1.0,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9997477507777683
2020-04-10,1.0,1.0,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9997477507777683
