date,B00009RF1E,B000BBGS36,B000BCZ8JU,B001FDKGIW,B001GQ3GEY,B002FS4VJQ,B0084AWBRS,B079945DR1,average
2020-01-21,0.9586056644880172,1.0001250000000002,0.939246401354784,1.0,1.0,1.151851851851852,1.0,1.0006886261907495,1.0063146929856754
2020-01-22,0.9586056644880172,1.0000416666666667,0.939246401354784,1.0,1.0,1.151851851851852,1.0,0.967290255939401,1.0021294800375902
2020-01-23,0.9586056644880172,1.0001250000000002,0.939246401354784,1.0,1.0,1.151851851851852,1.0,0.967290255939401,1.0021398967042567
2020-01-24,0.9586056644880172,1.0001250000000002,0.939246401354784,1.0,1.0,1.151851851851852,1.0,1.0,1.0062286147118318
2020-01-25,0.9586056644880172,1.0001250000000002,0.939246401354784,1.0,1.0,1.151851851851852,1.0,1.0327097440605992,1.0103173327194066
2020-01-26,0.9586056644880172,1.083,0.939246401354784,1.0,1.0,1.151851851851852,1.0,0.967290255939401,1.0124992717042567
2020-01-27,0.9586056644880172,1.129625,0.939246401354784,1.0,1.0,1.151851851851852,1.0,1.0006886261907495,1.0225021929856752
2020-01-28,0.9586056644880172,1.1000625,0.939246401354784,1.0,1.0,1.151851851851852,1.0,1.0327097440605992,1.0228095202194065
2020-01-29,0.9586056644880172,1.1000625,0.939246401354784,1.0,1.1000857878181298,1.151851851851852,1.0,0.967290255939401,1.027142807681523
2020-01-30,0.9586056644880172,1.0994000000000002,0.939246401354784,1.0,1.1000857878181298,1.151851851851852,1.0,0.9686675083208999,1.0272321517292102
2020-01-31,0.9498910675381261,1.0895703124999998,0.939246401354784,1.0,1.1000857878181298,1.151851851851852,1.0,0.9686675083208999,1.024914116172974
2020-02-01,0.9498910675381261,1.0832031249999998,0.939246401354784,1.0,1.1429796968830426,1.151851851851852,1.0,1.0,1.0333965178284754
2020-02-02,0.9498910675381261,1.080453125,0.939246401354784,1.0,1.1429796968830426,1.151851851851852,1.0,0.9679788821301505,1.0290501280947444
2020-02-03,0.9498910675381261,1.0803958333333337,0.939246401354784,1.0,1.1429796968830426,1.151851851851852,1.0,1.0,1.0330456063701423
2020-02-04,0.9498910675381261,1.079125,0.939246401354784,1.0,1.1429796968830426,1.151851851851852,1.0,1.0327097440605992,1.0369754702110505
2020-02-05,0.9498910675381261,1.0786136363636363,0.939246401354784,1.0,1.1429796968830426,1.151851851851852,1.0,0.967290255939401,1.0287341137413553
2020-02-06,0.9498910675381261,1.0782142857142856,0.9375529212531752,1.0,1.1429796968830426,1.151851851851852,1.0,0.967290255939401,1.0284725098974854
2020-02-07,0.9498910675381261,1.0778500000000002,0.9375529212531752,1.0,1.1429796968830426,1.3164021164021165,1.0,0.967290255939401,1.0489957572519828
2020-02-08,0.9498910675381261,1.0779375,0.9375529212531752,1.0,1.1429796968830426,1.3164021164021165,1.0,0.967290255939401,1.0490066947519827
2020-02-09,0.9498910675381261,1.0775500000000002,0.9426333615580017,1.0,1.1429796968830426,1.3164021164021165,1.0,0.967290255939401,1.049593312290086
2020-02-10,0.9498910675381261,1.0775500000000002,1.0,1.0,1.1429796968830426,0.9523809523809524,1.0,0.967290255939401,1.0112614965926903
2020-02-11,0.9498910675381261,1.072,1.0,1.0,1.1429796968830426,0.9523809523809524,1.0,0.9686675083208999,1.0107399031403776
