date,B005GSYXJ0,B00D5YS4HE,B01BZ0M3ZI,B01GK94OQK,B01HSSVDT8,B01HSSXYVI,B01HSSZN2Q,B01HTBHMRG,average
2020-02-02,1.0656370656370655,0.9401615271659325,0.9835423197492164,1.0063646574316738,0.8696343402225755,1.0,0.939669891861127,1.0,0.9756262252584489
2020-02-03,1.0656370656370655,0.9401615271659325,0.9835423197492164,1.0074878322725573,0.8696343402225755,1.0,0.960728514513375,1.0,0.9783989499450902
2020-02-04,1.0656370656370655,0.9375917767988253,0.9835423197492164,1.0074878322725573,0.8696343402225755,1.0,0.9470688673875926,1.0,0.9763702752584791
2020-02-05,1.0656370656370655,0.9427312775330396,0.9835423197492164,1.0074878322725573,1.0,1.0,0.9402390438247011,1.0,0.9924546923770725
2020-02-06,1.0656370656370655,0.9375917767988253,0.9835423197492164,1.0074878322725573,0.8585055643879174,0.991991991991992,0.941946499715424,1.0,0.9733378813191248
2020-02-07,1.0656370656370655,0.9375917767988253,0.9835423197492164,1.0074878322725573,0.8585055643879174,0.991991991991992,0.9225953329538987,1.0,0.9709189854739341
2020-02-08,1.0656370656370655,0.9375917767988253,0.9835423197492164,1.0074878322725573,0.8585055643879174,0.991991991991992,0.9220261809903244,1.0,0.9708478414784874
2020-02-09,1.0656370656370655,0.9427312775330396,0.9835423197492164,1.0074878322725573,0.8585055643879174,0.991991991991992,0.9117814456459874,1.0,0.970209687152222
2020-02-10,1.0656370656370655,0.9393049437102301,0.9835423197492164,1.0074878322725573,0.8585055643879174,0.991991991991992,0.9117814456459874,1.0,0.9697813954243707
2020-02-11,1.0656370656370655,0.9427312775330396,0.9835423197492164,1.0074878322725573,0.8585055643879174,1.0,0.9140580535002845,1.0,0.9714952641350101
2020-02-12,1.0656370656370655,0.9427312775330396,0.9835423197492164,1.0074878322725573,1.0,1.0,0.9373932840068298,1.0,0.9920989723998386
2020-02-13,1.0656370656370655,0.9427312775330396,0.9835423197492164,1.0074878322725573,0.8505564387917328,1.0,0.9379624359704041,1.0,0.973489671244252
2020-02-14,0.9317889317889319,0.9427312775330396,0.9835423197492164,1.0074878322725573,0.8505564387917328,1.0,0.9214570290267502,1.0,0.9546954786452785
2020-02-15,1.0,0.9427312775330396,0.9835423197492164,1.0074878322725573,0.8505564387917328,1.0,0.9282868525896414,1.0,0.9640755901170235
