date,B005IRYMCW,B00GMOSUX2,B00UM41HGK,B00WW8YO6E,B00WW8YZKO,B00WW8Z026,B01LOSGSUM,B01MYYVGU7,B01N9GPLFS,B074DYLY5V,average
2020-02-07,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,0.9822103082577943
2020-02-08,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,0.9822103082577943
2020-02-09,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,0.9419283134203945,1.2726239199636198,1.0,0.9764031395998337
2020-02-10,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,0.9419283134203945,1.2726239199636198,1.0,0.9764031395998337
2020-02-11,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,0.9419283134203945,1.2726239199636198,1.0,0.9764031395998337
2020-02-12,1.0,1.0,0.7775305895439377,0.6666666666666666,1.0,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2726239199636198,1.0,0.9888464246204831
2020-02-13,1.0,0.9574645537948291,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2726239199636198,1.0,0.9807353132343876
2020-02-14,1.0,0.9199332777314428,0.7775305895439377,0.6666666666666666,0.9887240356083086,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2726239199636198,1.0,0.9797121559544584
2020-02-15,1.0,0.9199332777314428,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2726239199636198,1.0,0.9769821856280488
2020-02-16,1.0,0.9199332777314428,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2726239199636198,1.0,0.9769821856280488
