date,N95 Mask,hand sanitizer,disinfectant spray,disinfectant wipes,olive oil,canned soup,rice,instant noodles,bottled water,hair color,hair clipper,shampoo,trash bag,toilet paper,dumbbell,yoga mat,nintendo switch,pet supply,printer ink
2020-02-12,0.7,0.5,0.6,0.0,0.1,,0.2,0.5555555555555556,0.6,0.2,0.2,0.0,0.7,0.1,0.2,0.3,0.1,0.7,0.4
2020-02-13,0.7,0.5,0.5,0.1,0.0,,0.4,0.5555555555555556,0.6,0.1,0.2,0.0,0.7,0.1,0.2,0.3,0.1,0.7,0.4
2020-02-14,0.7,0.5,0.5,0.1,0.0,,0.4,0.5555555555555556,0.6,0.2,0.2,0.0,0.7,0.1,0.2,0.3,0.1,0.7,0.4
2020-02-15,0.7,0.5,0.5,0.1,0.0,,0.4,0.5555555555555556,0.6,0.2,0.2,0.0,0.7,0.1,0.2,0.3,0.1,0.6,0.4
2020-02-16,0.7,0.625,0.5,0.0,0.0,,0.4,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.1,0.2,0.3,0.1,0.6,0.4
2020-02-17,0.7,0.625,0.4,0.1,0.0,,0.4,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.1,0.3,0.3,0.1,0.7,0.4
2020-02-18,0.7,0.5,0.5,0.1,0.0,,0.1,0.5555555555555556,0.6,0.1,0.2,0.1,0.7,0.0,0.3,0.3,0.1,0.7,0.4
2020-02-19,0.7,0.5,0.4,0.1,0.0,,0.2,0.5555555555555556,0.6,0.1,0.2,0.1,0.7,0.0,0.3,0.3,0.1,0.7,0.4
2020-02-20,0.7,0.5,0.3,0.1,0.0,,0.2,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.7,0.4
2020-02-21,0.7,0.5,0.3,0.1,0.0,,0.1,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.7,0.4
2020-02-22,0.7,0.5,0.3,0.2,0.0,,0.3,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.7,0.4
2020-02-23,0.7,0.5,0.3,0.2,0.0,,0.3,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.7,0.4
2020-02-24,0.6,0.5,0.3,0.2,0.0,,0.3,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.3,0.3,0.1,0.7,0.4
2020-02-25,0.6,0.5,0.4,0.3,0.0,,0.3,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.7,0.4
2020-02-26,0.6,0.6666666666666666,0.3,0.2,0.1,,0.3,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.7,0.5
2020-02-27,0.6,0.5555555555555556,0.3,0.2,0.0,,0.2,0.3333333333333333,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.7,0.5
2020-02-28,0.6,0.6666666666666666,0.3,0.2,0.0,,0.3,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.7,0.5
2020-02-29,0.6,0.6666666666666666,0.3,0.3,0.0,,0.1,0.4444444444444444,0.6,0.3,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.7,0.5
2020-03-01,0.5,0.6666666666666666,0.3,0.2,0.0,,0.2,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.7,0.5
2020-03-02,0.5,0.7777777777777778,0.4,0.2,0.0,,0.2,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.7,0.5
2020-03-03,0.5,0.6666666666666666,0.3,0.2,0.0,,0.2,0.4444444444444444,0.6,0.3,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.7,0.5
2020-03-04,0.5,0.7,0.3,0.3,0.0,,0.2,0.4444444444444444,0.6,0.3,0.2,0.1,0.7,0.0,0.5,0.3,0.1,0.7,0.4
2020-03-05,0.5,0.7,0.3,0.3,0.0,,0.2,0.4444444444444444,0.6,0.3,0.2,0.0,0.7,0.0,0.4,0.3,0.1,0.7,0.4
