date,B001PCVAJM,B001PD0Q5U,B002Y46R0M,B008O9L8KK,B0856883TQ,B085B3SDSR,B085GK6NVY,B085WNYY71,B085WPFMBJ,B085WPL53C,average
2020-03-09,1.5625271385149802,0.392802450229709,0.7107258938244853,0.8012035246077799,1.0,,,,,,0.8934518014353909
2020-03-10,1.5625271385149802,0.392802450229709,0.7107258938244853,0.8012035246077799,1.0,,,,,,0.8934518014353909
2020-03-11,1.5625271385149802,0.392802450229709,0.7107258938244853,0.8012035246077799,1.0,,,,,,0.8934518014353909
2020-03-12,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,,,,,1.014891311389449
2020-03-13,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,,,,,1.014891311389449
2020-03-14,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,,,,,1.014891311389449
2020-03-15,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,,1.0,,,1.0124094261578742
2020-03-16,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,,1.0,,,1.0124094261578742
2020-03-17,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-18,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-19,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-20,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-21,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-22,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-23,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-24,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-25,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,1.0,1.0,1.0,,1.0526592943654556,1.0141239834791889
2020-03-26,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,1.01271158513127
2020-03-27,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,1.01271158513127
2020-03-28,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,1.01271158513127
2020-03-29,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,1.01271158513127
2020-03-30,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,1.01271158513127
2020-03-31,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,1.01271158513127
2020-04-01,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.5372877713303245,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8816526606739965
2020-04-02,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.5372877713303245,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8816526606739965
2020-04-03,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.5372877713303245,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8816526606739965
2020-04-04,1.5625271385149802,0.21669218989280245,0.44582881906825567,0.5372877713303245,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8814995213171818
2020-04-05,1.5625271385149802,0.21669218989280245,0.44582881906825567,0.5372877713303245,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8814995213171818
2020-04-06,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6047711154094133,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8884009950819054
2020-04-07,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6047711154094133,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8884009950819054
2020-04-08,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-09,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-10,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-11,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-12,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-13,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-14,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-15,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-16,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-17,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-18,0.48067737733391225,0.2725880551301684,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.7883603964982254
2020-04-19,0.6669561441597915,0.2725880551301684,0.7199349945828818,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8343988907322759
2020-04-20,0.6669561441597915,0.40811638591117916,0.7199349945828818,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8479517238103769
