date,B00PDNY8Q6,B01FS2W6I8,B01GAIU7HG,B07CZK4RY1,B07D93TR7Z,B07QNSDX64,B07QPWKYG9,B07QR1HGV5,average
2020-02-09,1.213833157338965,1.0,0.6662587607075314,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.9128014103353517
2020-02-10,1.213833157338965,1.0,0.6662587607075314,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.9128014103353517
2020-02-11,1.3035902851108765,1.0,0.6662587607075314,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.9240210513068405
2020-02-12,1.3035902851108765,1.0,0.6662587607075314,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.9240210513068405
2020-02-13,1.3035902851108765,1.0,0.6662587607075314,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.9240210513068405
2020-02-14,1.3035902851108765,1.0,0.6662587607075314,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.9240210513068405
2020-02-15,1.3035902851108765,1.0,0.6662587607075314,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.9240210513068405
2020-02-16,1.3035902851108765,1.0,0.5550116809433753,1.0,1.0,1.3335779571685904,0.6891817303711881,1.1004069651077457,0.9977210773377221
2020-02-17,1.3035902851108765,1.0,0.5550116809433753,1.0,1.0,1.3335779571685904,0.6891817303711881,1.1004069651077457,0.9977210773377221
2020-02-18,1.3035902851108765,1.0,0.5550116809433753,1.0,1.0,1.3335779571685904,0.6891817303711881,1.1004069651077457,0.9977210773377221
2020-02-19,1.3035902851108765,1.0,0.5550116809433753,1.0,1.0,1.3335779571685904,0.6891817303711881,1.1004069651077457,0.9977210773377221
2020-02-20,1.3035902851108765,1.0,0.5550116809433753,1.0,1.0,1.3335779571685904,0.6891817303711881,1.1004069651077457,0.9977210773377221
2020-02-21,1.3035902851108765,1.0,0.5550116809433753,1.0,1.0,1.3335779571685904,0.6891817303711881,1.1004069651077457,0.9977210773377221
2020-02-22,1.3035902851108765,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.910115166336321
