date,B0014COKYU,B00BAKMTG2,B00GYRBXCM,B00GYRBY1M,B00WG9SJUG,B01K1P98JC,B06XD7BRJG,B078B71157,B079Z1M3T6,B079Z6XH36,average
2020-01-30,1.0181488203266786,0.824973319103522,0.9957708573625528,1.1445916114790287,1.0,1.0,0.9932584269662922,1.0,1.0,1.0,0.9976743035238075
2020-01-31,1.0181488203266786,0.824973319103522,0.9957708573625528,1.1589403973509933,1.0,1.0,0.9932584269662922,1.0,1.0,1.0,0.999109182111004
2020-02-01,0.5602540834845734,0.7833511205976521,0.9957708573625528,1.1589403973509933,1.0,1.0,1.006741573033708,1.0,1.0,1.0,0.950505803182948
2020-02-02,1.110344827586207,0.7833511205976521,0.9957708573625528,1.1589403973509933,1.0,1.0,1.006741573033708,1.0,1.0,1.0,1.0055148775931113
2020-02-03,1.110344827586207,0.7833511205976521,0.9957708573625528,1.1589403973509933,1.0,1.0,0.9932584269662922,1.0,1.0,1.0,1.0041665629863696
2020-02-04,1.110344827586207,0.7833511205976521,0.9957708573625528,1.2185430463576157,1.0,1.0,0.9932584269662922,1.0,1.0,1.0,1.010126827887032
2020-02-05,0.5602540834845734,0.7833511205976521,0.9957708573625528,1.2185430463576157,1.0,1.0,0.9932584269662922,1.0,1.0,1.0,0.9551177534768687
2020-02-06,0.5602540834845734,0.7833511205976521,0.9965397923875433,1.2185430463576157,1.0,1.0,1.0,1.0,1.0,1.0,0.9558688042827385
2020-02-07,0.5602540834845734,0.7833511205976521,1.154555940023068,1.2185430463576157,1.0,1.0,1.006741573033708,1.0,1.0,1.0,0.9723445763496616
2020-02-08,1.0974591651542653,0.9343649946638207,1.2701097868341231,1.2185430463576157,1.0,1.5463182897862233,1.006741573033708,1.0,1.0,1.0,1.1073536855829755
2020-02-09,1.0974591651542653,0.9343649946638207,1.232843137254902,1.2185430463576157,1.0,1.0,1.006741573033708,1.0,1.0,1.0,1.0489951916464313
2020-02-10,1.0974591651542653,0.9343649946638207,1.1987697039600154,1.2781456953642383,1.0,1.0,0.9932584269662922,1.0,1.0,1.0,1.0501997986108633
2020-02-11,1.1326678765880216,0.9343649946638207,1.211479747608386,1.2781456953642383,1.0,1.0,1.006741573033708,1.0,1.0,1.0,1.0563399887258176
2020-02-12,0.5520871143375681,0.7438633938100321,1.208044982698962,1.2781456953642383,1.0,1.0,1.006741573033708,1.0,1.0,1.0,0.9788882759244508
2020-02-13,0.5520871143375681,0.7065101387406617,1.1898788927335642,1.280353200883002,1.0,1.0,1.006741573033708,1.0,1.0,1.0,0.9735570919728505
2020-02-14,0.3909255898366606,0.6712913553895411,1.2009739843649876,1.6545253863134657,1.0,1.0,0.9932584269662922,1.0,1.0,1.0,0.9910974742870948
2020-02-15,0.3909255898366606,0.6712913553895411,1.1802191464821223,1.6545253863134657,1.0,1.0,1.006741573033708,1.0,1.0,1.0,0.9903703051055498
2020-02-16,0.3909255898366606,1.5997865528281752,1.1458840616856767,1.6545253863134657,1.0,1.0,1.006741573033708,1.0,1.0,1.0,1.0797863163697685
2020-02-17,0.3909255898366606,1.5997865528281752,1.1921788323172406,1.6545253863134657,1.0,1.0,1.006741573033708,1.0,1.0,1.0,1.084415793432925
2020-02-18,0.3909255898366606,1.0853788687299895,1.2502883506343712,1.6545253863134657,1.0,1.0,1.006741573033708,1.0,1.0,1.0,1.0387859768548195
2020-02-19,0.3909255898366606,1.0853788687299895,1.2502883506343712,1.6545253863134657,1.0,1.2731591448931117,0.9932584269662922,1.0,1.0,1.0,1.0647535767373892
2020-02-20,0.3909255898366606,1.5997865528281752,1.2502883506343712,1.6545253863134657,1.0,1.276326207442597,1.0,1.0,1.0,1.0,1.117185208705527
2020-02-21,0.3909255898366606,1.0853788687299895,1.2502883506343712,1.6545253863134657,1.0,1.0,1.006741573033708,1.0,1.0,1.0,1.0387859768548195
2020-02-22,0.3909255898366606,1.0853788687299895,1.2502883506343712,1.6545253863134657,1.0,1.0,0.9932584269662922,1.0,1.0,1.0,1.0374376622480779
2020-02-23,0.3909255898366606,1.0853788687299895,1.2502883506343712,1.6545253863134657,1.0,1.0,1.006741573033708,1.0,0.7510810810810811,1.0,1.0138940849629274
2020-02-24,0.3909255898366606,1.0853788687299895,1.2502883506343712,1.6545253863134657,1.0,1.0,1.006741573033708,1.0,0.7510810810810811,1.0,1.0138940849629274
2020-02-25,0.3909255898366606,1.0853788687299895,0.9688581314878892,1.6545253863134657,1.0,1.0,0.9932584269662922,1.0,0.7510810810810811,1.0,0.9844027484415377
2020-02-26,0.3909255898366606,1.0853788687299895,0.9688581314878892,1.6545253863134657,1.0,1.0,1.006741573033708,1.0,0.7510810810810811,1.0,0.9857510630482793
