date,B01MS6MO77,B01N1037CV,B07F3RFPXG,B07FV64QLX,B07KXQX3S3,B07NQX1J99,B07PC7X38X,B07RMC5BRL,B07S9886QV,B07SK4W1VJ,average
2020-02-05,0.9857829395274329,1.024790236460717,1.3295530353569045,1.0,1.018698578908003,1.0,0.8376068376068376,1.0,1.0,0.9631071560993698,1.0159538783959263
2020-02-06,0.9857829395274329,1.024790236460717,1.3295530353569045,1.0,1.018698578908003,1.0,0.8376068376068376,1.0,1.0,0.9631071560993698,1.0159538783959263
2020-02-07,0.9883860632759311,1.024790236460717,1.3295530353569045,1.0,1.018698578908003,1.0,0.8376068376068376,1.0,1.0,0.9631071560993698,1.0162141907707762
2020-02-08,0.9883860632759311,1.024790236460717,1.3295530353569045,1.0,1.018698578908003,1.0,0.8376068376068376,1.0,1.0,0.9631071560993698,1.0162141907707762
2020-02-09,0.9883860632759311,1.024790236460717,1.0,1.0,1.018698578908003,1.0691084079668494,0.8376068376068376,1.0,1.0,0.9631071560993698,0.990169728031771
2020-02-10,0.9909891870244294,1.024790236460717,1.0,1.0,0.9375467464472701,1.0691084079668494,0.8376068376068376,1.0,1.0,0.9631071560993698,0.9823148571605472
2020-02-11,0.9909891870244294,1.024790236460717,1.0,1.0,0.9265706806282723,1.0691084079668494,0.8376068376068376,1.0,1.0,0.9258435298479792,0.9774908879535085
2020-02-12,0.9857829395274329,0.952326468344775,1.0,1.0,0.9222887060583396,0.6683598449405159,0.8290598290598291,1.0,1.0,0.9258435298479792,0.9283661317778871
2020-02-13,0.9857829395274329,0.952326468344775,1.0,1.0,0.9431563201196709,0.8684667825157064,0.8290598290598291,1.0,1.0,0.9258435298479792,0.9504635869415393
2020-02-14,0.9909891870244294,0.952326468344775,1.0,1.0,0.9294128646222888,0.6683598449405159,0.845982905982906,1.0,1.0,0.9258435298479792,0.9312914800762894
2020-02-15,0.9875183553597651,0.952326468344775,1.0,1.0,0.9229618548990277,1.0691084079668494,0.845982905982906,1.0,1.0,0.9258435298479792,0.9703741522401303
2020-02-16,0.9875183553597651,0.952326468344775,1.0,1.0,0.9159810521067064,0.6683598449405159,0.845982905982906,1.0,1.0,0.9258435298479792,0.9296012156582648
2020-02-17,0.9909891870244294,0.952326468344775,1.0,1.0,0.9264878726359655,0.6683598449405159,0.845982905982906,1.0,1.0,0.9258435298479792,0.9309989808776571
2020-02-18,0.9909891870244294,0.952326468344775,1.0,1.0,0.9267355680968247,0.6683598449405159,0.845982905982906,1.0,1.0,0.9258435298479792,0.931023750423743
2020-02-19,0.9909891870244294,0.952326468344775,1.0,1.0,0.9267355680968247,0.6683598449405159,0.845982905982906,1.0,1.0,0.9258435298479792,0.931023750423743
