date,bottledwater,cannedsoup,disinfectantspray,disinfectantwipes,dumbell,hairclipper,haircolor,handsanitizer,instantnoodles,N95mask,nintendoswitch,oliveoil,petsupply,printerink,rice,shampoo,toiletpaper,trashbag,yogamat
1/19/2020,0.950536077,1.00198986,0.966767268,0.994084064,0.940562159,1.010317333,1.113310616,1.025071396,1.027869006,1.003284531,1.024009864,1.016042987,0.965196868,0.928696165,1,1.035637587,1.001898244,0.990535051,0.999915917
1/20/2020,0.950536077,1.00198986,1.026712821,0.989283296,0.940562159,1.010317333,1.113310616,1.025071396,1.043618753,1.014139937,0.99895471,1.016042987,0.965196868,0.984180646,1,1.038205985,1.014690571,0.996391006,0.999915917
1/21/2020,0.88386941,1.00198986,1.000469658,0.984302499,0.940562159,1.006314693,1.133935616,1.025071396,1.035325279,1.004370072,0.992298016,1.016042987,0.965196868,0.984180646,1,1.036279687,1.014690571,0.994240294,0.999915917
1/22/2020,0.88386941,1.00198986,1.004444219,0.991119589,0.95168482,1.00212948,1.133935616,1.077587772,1.032319568,1.083236841,0.988010699,1.016042987,0.965126594,0.984180646,1,1.035637587,1.014690571,0.992461694,0.999915917
1/23/2020,0.973664836,1.00198986,1.002980564,0.991119589,0.95168482,1.002139897,1.108935616,1.078336835,1.030738387,1.083236841,0.98706714,1.031541318,0.965548239,0.984180646,0.999764567,1.036921786,1.045673628,0.991722321,0.999915917
1/24/2020,1.040331503,1.00198986,1.004328878,0.991143593,0.95168482,1.006228615,1.115715277,1.078336835,1.030738387,1.083236841,0.992726392,1.02796478,0.965548239,0.984180646,0.999764567,1.036279687,1.045649739,0.991526396,0.999915917
1/25/2020,1.040331503,1.00198986,1.011093086,1.001156944,0.95168482,1.010317333,1.099920591,1.078336835,1.013391672,1.083236841,0.984634093,1.016042987,0.965548239,0.984180646,0.999764567,1.036279687,1.047887718,0.99053038,0.999915917
1/26/2020,1.040331503,1.00198986,1.012441401,1.000430828,0.95168482,1.012499272,1.090905566,1.078336835,0.999659887,1.083236841,0.984391012,1.039886573,0.965126594,0.900282474,0.999764567,1.109462832,1.044760381,0.993411712,0.999915917
1/27/2020,1.040331503,1.00198986,1.012441401,0.999596695,0.95168482,1.022502193,1.014013056,1.078336835,0.990016823,1.083236841,0.996159023,1.02796478,0.965126594,0.89414467,0.999764567,1.120610103,1.044822959,0.993411712,0.999915917
1/28/2020,1.040331503,1.00198986,0.9993144,1.018519712,0.95168482,1.02280952,1.032043106,1.082082154,0.982029168,1.083236841,0.990304713,1.016042987,0.972110597,0.900282474,0.999764567,1.106204743,1.044822959,0.986759748,0.999915917
1/29/2020,1.040331503,1.00198986,0.9993144,1.041539395,0.953613603,1.027142808,1.032043106,1.082082154,0.982029168,1.083236841,0.987722531,1.016042987,0.97935889,0.900282474,0.999764567,1.106204743,1.044822959,0.986759748,0.999915917
1/30/2020,1.040331503,1.00198986,0.997674304,1.040063159,0.953613603,1.027232152,1.032043106,1.078336835,0.9840296,1.083236841,0.984700893,1.016042987,0.97935889,0.89414467,0.999764567,1.093976937,1.044822959,0.991028388,0.999915917
1/31/2020,1.040331503,1.00198986,0.999109182,1.052929218,0.953363395,1.024914116,1.029288515,1.10084006,0.9840296,1.083236841,0.981566192,1.016042987,0.97935889,0.894078672,0.999764567,1.093976937,1.043453314,0.974830643,0.999915917
2/1/2020,1.040331503,1.00198986,0.950505803,1.052125089,0.980135756,1.033396518,1.011258465,1.079117214,0.984687587,1.083236841,0.978150419,1.016042987,0.97935889,0.900282474,0.999764567,1.108055608,1.044088235,0.976822675,0.999915917
2/2/2020,1.040331503,1.00198986,1.005514878,0.972653008,0.980135756,1.029050128,1.030875817,1.206458038,0.984687587,1.083236841,1.006472452,1.016042987,1.011547732,0.870054448,0.999764567,1.120563425,1.04414026,0.975626225,0.999915917
2/3/2020,1.040331503,1.00198986,1.004166563,0.972653008,0.980135756,1.033045606,1.026000728,1.206458038,0.978743137,1.083236841,1.006472452,1.016042987,0.979553974,0.879325038,1.043606375,1.120563425,1.04414026,0.97839895,0.999915917
2/4/2020,1.040331503,1.00198986,1.010126828,0.972653008,0.995385382,1.03697547,1.044030778,1.109246219,0.973105475,1.083236841,1.015953878,1.016042987,0.979589111,0.870054448,1.043606375,1.108235306,1.042903591,0.976370275,0.999831834
2/5/2020,1.040331503,1.00198986,0.955117753,0.972653008,0.982210308,1.028734114,1.001000728,1.114513485,0.973162321,1.083236841,1.015953878,1.016042987,0.996584058,0.870054448,1.046600726,1.148285368,1.042903591,0.992454692,0.999831834
2/6/2020,1.040331503,1.00198986,0.955868804,0.972653008,1.00470289,1.02847251,1.027521344,1.118508491,0.975101999,1.083236841,1.015953878,1.016042987,0.997539969,0.899601833,1.046600726,1.125823246,1.042903591,0.973337881,0.999831834
2/7/2020,1.040331503,1.00198986,0.972344576,0.972653008,0.982210308,1.048995757,1.034491294,1.121473431,1.040036232,1.083236841,1.016214191,1.016042987,0.997539969,0.899601833,1.046600726,1.125148512,1.042903591,0.970918985,0.999831834
