date,B00074VZ9O,B00074VZAS,B0009YUFMK,B002DGE8Q6,B002VXF3WE,B003MR52LU,B003MROHZW,B004B3W4N8,B005W0O5JK,B00987HPFO
2011-09-17,21.99,19.625,18.99,,,,,,,
2011-09-18,21.99,19.625,18.99,,,,,,,
2011-09-19,21.99,19.625,18.99,,,,,,,
2011-09-20,21.99,19.625,18.99,,,,,,,
2011-09-21,21.99,19.625,18.99,,,,,,,
2011-09-22,21.99,19.625,18.99,,,,,,,
2011-09-23,21.99,19.625,18.99,,,,,,,
2011-09-24,21.99,19.625,18.99,,,,,,,
2011-09-25,21.99,19.625,18.99,,,,,,,
2011-09-26,21.99,19.625,18.99,,,,,,,
2011-09-27,21.99,19.625,18.99,,,,,,,
2011-09-28,21.99,19.625,18.99,,,,,,,
2011-09-29,21.99,19.625,18.99,,,,,,,
2011-09-30,21.99,19.625,18.99,,,,,,,
2011-10-01,21.99,19.625,18.99,,,,,,,
2011-10-02,21.99,19.625,18.99,,,,,,,
2011-10-03,21.99,19.625,18.99,,,,,,,
2011-10-04,21.99,19.625,18.99,,,,,,,
2011-10-05,21.99,19.625,18.99,,,,,,,
2011-10-06,21.99,19.625,18.99,,,,,,,
2011-10-07,21.99,19.625,18.99,,,,,,,
2011-10-08,21.99,19.625,18.99,,,,,,,
2011-10-09,21.99,19.625,18.99,,,,,,,
2011-10-10,21.99,19.625,18.99,,,,,,,
2011-10-11,21.99,19.625,18.99,,,,,,,
2011-10-12,21.99,19.625,18.99,,,,,,,
2011-10-13,21.99,19.625,18.99,,,,,,,
2011-10-14,21.99,19.625,18.99,,,,,,,
2011-10-15,21.99,19.625,18.99,,,,,,,
2011-10-16,21.99,19.625,18.99,,,,,,,
2011-10-17,21.99,19.625,18.99,,,,,,,
2011-10-18,21.99,19.625,18.99,,,,,,,
2011-10-19,21.99,19.625,18.99,,,,,,,
2011-10-20,21.99,19.625,18.99,,,,,,,
2011-10-21,21.99,19.625,18.99,,,,,,,
2011-10-22,21.99,19.625,18.99,,,,,,,
2011-10-23,21.99,19.625,18.99,,,,,,,
2011-10-24,21.99,19.625,18.99,,,,,,,
2011-10-25,21.99,19.625,18.99,,,,,,,
2011-10-26,21.99,19.625,18.99,,,,,,,
2011-10-27,21.99,19.625,18.99,,,,,,,
2011-10-28,21.99,19.625,18.99,,,,,,,
2011-10-29,21.99,19.625,18.99,,,,,,,
2011-10-30,21.99,19.625,18.99,,,,,,,
